%eval_id interface dGrainHBS FaceCovMax SwellLink vResol DatomFissGBx fNucleate aAtomDifFiss FD1 fuel_swelling1 FD2 fuel_swelling2 FD3 fuel_swelling3
0 36 4.064E-05 0.718 2.655E-02 1.828E-18 3.255E+04 5.948E-10 5.244E-31 .2004480008009508E+22 8.381676922586763 .4008960016019010E+22 20.16956255000345 .6013440024028510E+22 42.53692180970750
0 37 3.858E-05 0.626 2.541E-02 1.695E-18 2.435E+04 6.988E-10 5.211E-31 .2004480008009508E+22 8.359052197016972 .4008960016019010E+22 20.55038546384010 .6013440024028510E+22 43.79446417276478
0 38 3.503E-05 0.653 2.170E-02 2.111E-18 2.508E+04 6.337E-10 4.202E-31 .2004480008009508E+22 8.230119984771404 .4008960016019010E+22 19.56282381967624 .6013440024028510E+22 40.73693184000837
0 39 3.752E-05 0.752 2.792E-02 1.900E-18 2.967E+04 7.436E-10 4.480E-31 .2004480008009508E+22 8.289811792460043 .4008960016019010E+22 19.16020981983607 .6013440024028510E+22 39.18351225388430
0 40 4.377E-05 0.749 1.985E-02 1.882E-18 2.219E+04 5.799E-10 4.099E-31 .2004480008009508E+22 8.266537787383351 .4008960016019010E+22 20.61190268558963 .6013440024028510E+22 44.72137583705969
0 41 3.656E-05 0.853 2.834E-02 2.069E-18 2.989E+04 6.329E-10 4.996E-31 .2004480008009508E+22 8.301533060454862 .4008960016019010E+22 18.19107746132849 .6013440024028510E+22 35.83547789321306
0 42 4.630E-05 0.735 2.385E-02 2.097E-18 2.787E+04 6.424E-10 5.251E-31 .2004480008009508E+22 8.298216529529858 .4008960016019010E+22 21.02178250703844 .6013440024028510E+22 46.11858485786034
0 43 3.902E-05 0.708 2.531E-02 2.175E-18 2.287E+04 6.377E-10 4.881E-31 .2004480008009508E+22 8.242545662008991 .4008960016019010E+22 19.79884792191288 .6013440024028510E+22 41.71069981767439
0 44 3.524E-05 0.772 2.437E-02 1.822E-18 3.134E+04 6.257E-10 5.673E-31 .2004480008009508E+22 8.394507920699890 .4008960016019010E+22 18.75372033622730 .6013440024028510E+22 37.40411317352320
0 45 3.642E-05 0.797 2.120E-02 1.887E-18 2.684E+04 6.636E-10 5.200E-31 .2004480008009508E+22 8.331614471699613 .4008960016019010E+22 18.82992114441219 .6013440024028510E+22 37.99021255532219
0 46 3.044E-05 0.793 2.452E-02 2.224E-18 3.242E+04 5.096E-10 5.187E-31 .2004480008009508E+22 8.314158492509202 .4008960016019010E+22 17.44918042395566 .6013440024028510E+22 32.81120809656118
0 47 3.610E-05 0.837 2.754E-02 2.079E-18 2.986E+04 5.888E-10 4.426E-31 .2004480008009508E+22 8.278105803519384 .4008960016019010E+22 18.20082955270743 .6013440024028510E+22 35.92769592780677
0 48 3.861E-05 0.776 2.254E-02 2.221E-18 2.890E+04 7.034E-10 5.713E-31 .2004480008009508E+22 8.288507632775463 .4008960016019010E+22 19.34637855749726 .6013440024028510E+22 40.03147298305511
0 49 3.845E-05 0.742 2.722E-02 1.857E-18 3.420E+04 5.088E-10 5.037E-31 .2004480008009508E+22 8.387427952986549 .4008960016019010E+22 19.53748769701183 .6013440024028510E+22 40.24716551850687
0 50 4.649E-05 0.654 2.618E-02 1.942E-18 3.093E+04 6.531E-10 5.477E-31 .2004480008009508E+22 8.351532633913461 .4008960016019010E+22 21.63215836365263 .6013440024028510E+22 48.03251933386962
0 51 3.666E-05 0.828 2.668E-02 2.137E-18 2.886E+04 5.634E-10 5.152E-31 .2004480008009508E+22 8.304963298621857 .4008960016019010E+22 18.43485731152046 .6013440024028510E+22 36.68668253000551
0 52 3.631E-05 0.778 2.634E-02 1.973E-18 3.319E+04 5.813E-10 5.203E-31 .2004480008009508E+22 8.352742871023592 .4008960016019010E+22 18.81765409665385 .6013440024028510E+22 37.79496750374591
0 53 4.291E-05 0.846 2.683E-02 1.899E-18 3.266E+04 5.834E-10 4.873E-31 .2004480008009508E+22 8.349113942165665 .4008960016019010E+22 19.57091353945263 .6013440024028510E+22 40.67728946936983
0 54 3.683E-05 0.862 2.615E-02 2.124E-18 3.508E+04 5.861E-10 4.936E-31 .2004480008009508E+22 8.314347130988098 .4008960016019010E+22 18.24538572621038 .6013440024028510E+22 36.02201750183048
0 55 4.210E-05 0.880 2.061E-02 1.732E-18 2.554E+04 5.534E-10 4.884E-31 .2004480008009508E+22 8.365122112449914 .4008960016019010E+22 19.39232465702372 .6013440024028510E+22 40.07586643135419
0 56 4.869E-05 0.854 2.570E-02 2.008E-18 3.090E+04 5.901E-10 5.176E-31 .2004480008009508E+22 8.334302118867548 .4008960016019010E+22 20.51305857029471 .6013440024028510E+22 44.25068303421260
0 57 4.313E-05 0.781 2.370E-02 2.151E-18 3.003E+04 6.042E-10 5.586E-31 .2004480008009508E+22 8.318557151903525 .4008960016019010E+22 20.15992271943185 .6013440024028510E+22 42.92419121463409
0 58 3.461E-05 0.741 2.453E-02 1.755E-18 3.261E+04 6.325E-10 5.897E-31 .2004480008009508E+22 8.424888470203374 .4008960016019010E+22 18.89877725513402 .6013440024028510E+22 37.76132086206921
0 59 4.747E-05 0.704 2.295E-02 2.038E-18 3.130E+04 5.203E-10 5.918E-31 .2004480008009508E+22 8.378873584721605 .4008960016019010E+22 21.58178235005736 .6013440024028510E+22 47.90887912417111
0 60 4.526E-05 0.722 2.758E-02 2.390E-18 2.791E+04 6.232E-10 5.114E-31 .2004480008009508E+22 8.242390317661433 .4008960016019010E+22 20.71161853624294 .6013440024028510E+22 45.12483220803829
0 61 3.701E-05 0.723 2.585E-02 2.647E-18 2.782E+04 5.145E-10 5.572E-31 .2004480008009508E+22 8.243315606085789 .4008960016019010E+22 19.24546612189876 .6013440024028510E+22 39.74403481559751
0 62 3.820E-05 0.846 2.635E-02 1.774E-18 2.840E+04 6.373E-10 4.569E-31 .2004480008009508E+22 8.334266364914795 .4008960016019010E+22 18.69172342820495 .6013440024028510E+22 37.48422286484874
0 63 4.013E-05 0.726 2.263E-02 1.938E-18 2.818E+04 6.248E-10 4.652E-31 .2004480008009508E+22 8.305131435856572 .4008960016019010E+22 20.06679316226630 .6013440024028510E+22 42.48512288217039
0 64 3.990E-05 0.732 2.223E-02 1.780E-18 3.050E+04 5.796E-10 5.150E-31 .2004480008009508E+22 8.383297998351500 .4008960016019010E+22 20.07989166447243 .6013440024028510E+22 42.25434082047585
0 65 3.083E-05 0.757 2.342E-02 2.402E-18 2.647E+04 6.067E-10 4.765E-31 .2004480008009508E+22 8.220742677631041 .4008960016019010E+22 17.70750260610935 .6013440024028510E+22 34.14085303082426
0 66 3.595E-05 0.752 2.309E-02 2.017E-18 2.347E+04 6.682E-10 4.985E-31 .2004480008009508E+22 8.276098011387401 .4008960016019010E+22 18.95148552567145 .6013440024028510E+22 38.55436103127137
0 67 4.580E-05 0.778 2.702E-02 2.118E-18 2.541E+04 6.028E-10 5.305E-31 .2004480008009508E+22 8.293218415883311 .4008960016019010E+22 20.47222485843502 .6013440024028510E+22 44.14854635639856
0 68 3.629E-05 0.760 2.436E-02 1.791E-18 3.344E+04 5.482E-10 4.576E-31 .2004480008009508E+22 8.365271074198157 .4008960016019010E+22 19.03535198458720 .6013440024028510E+22 38.49214769055329
