dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,5.0909e+21,63.225,42.861
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,6.054e+21,90.824,66.607
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,7.0172e+21,101.69,73.62
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,7.9803e+21,105.59,73.668
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,1.1007e+21,4.4045,0.0015135
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,2.0639e+21,8.2583,0.0027677
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,3.027e+21,12.996,0.88799
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,3.9902e+21,26.295,10.335
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,5.0909e+21,51.188,30.824
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,6.054e+21,72.558,48.342
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,7.0172e+21,83.706,55.637
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,7.9803e+21,87.598,55.677
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,1.1007e+21,4.406,0.0030442
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,2.0639e+21,8.2611,0.005622
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,3.027e+21,12.879,0.77096
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,3.9902e+21,24.793,8.8326
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,5.0909e+21,46.219,25.855
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,6.054e+21,64.075,39.858
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,7.0172e+21,73.482,45.414
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,7.9803e+21,77.367,45.446
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,1.1007e+21,7.6088,3.2058
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,2.0639e+21,14.645,6.3892
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,3.027e+21,22.261,10.153
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,3.9902e+21,40.154,24.194
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,5.0909e+21,93.241,72.877
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,6.054e+21,174.32,150.11
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,7.0172e+21,360.29,332.22
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,7.9803e+21,940.06,908.14
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,1.1007e+21,12.295,7.892
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,2.0639e+21,23.14,14.884
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,3.027e+21,33.922,21.814
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,3.9902e+21,41.208,25.248
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,5.0909e+21,95.903,75.539
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,6.054e+21,101.84,77.623
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,7.0172e+21,111.77,83.704
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,7.9803e+21,129.77,97.845
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,1.1007e+21,4.403,3.3235e-05
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,2.0639e+21,8.2556,3.3235e-05
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,3.027e+21,12.449,0.34053
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,3.9902e+21,21.729,5.768
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,5.0909e+21,38.498,18.134
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,6.054e+21,52.612,28.396
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,7.0172e+21,60.316,32.248
4.42e-05,0.88406,0.04512,1.65e-18,11840.0,8.02e-10,7.22e-32,7.9803e+21,64.194,32.273
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,1.1007e+21,4.4029,0.0
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,2.0639e+21,8.2555,0.0
3.34e-05,0.68003,0.040369,3.08e-18,3960.1,5.07e-09,1.71e-31,3.027e+21,12.469,0.36122
