dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
2.18e-05,0.90258,0.036126,3.57e-18,7513.1,7.78e-11,4.25e-31,28.085
3.71e-05,0.60637,0.024868,3.82e-18,2.3539e+05,5.52e-10,1.23e-30,46.956
2.57e-05,0.84288,0.053066,2.01e-18,4173.9,2.19e-08,4.71e-31,31.53
2.83e-05,0.79661,0.058843,3.54e-18,1.0556e+05,8.01e-11,2.48e-31,30.208
4.82e-05,0.69508,0.030664,5.96e-18,92836,4.21e-10,1.82e-30,51.509
2.56e-05,0.62887,0.050045,1.6e-17,11939,1.03e-10,1.5e-30,32.103
3.53e-05,0.80676,0.046433,8.97e-19,8523.5,3.08e-08,2.4e-30,41.328
3.38e-05,0.61087,0.049781,8.28e-18,94180,2.87e-08,6.7e-32,41.744
4.56e-05,0.5201,0.055641,1.12e-17,3250.9,1.57e-10,2.23e-31,49.59
2.32e-05,0.69253,0.049999,2.43e-18,8127.7,4.11e-10,7.95e-32,29.666
5.88e-05,0.79168,0.03506,4.9e-18,36771,4.22e-09,3.37e-30,57.358
2.6e-05,0.688,0.029565,1.09e-17,70410,3.04e-10,5.19e-32,32.665
3.56e-05,0.89823,0.023608,2.13e-19,24126,4.8e-08,1.91e-31,46.043
5.97e-05,0.77014,0.017644,6.55e-19,8087.5,9.58e-09,2.01e-31,68.317
4.33e-05,0.64527,0.023409,1.35e-17,32453,1.27e-10,1.27e-30,50.555
5.64e-05,0.52709,0.038964,3.28e-18,6119.8,1.13e-08,1.69e-31,62.446
5.75e-05,0.51843,0.0325,2.17e-18,1.3169e+05,5.91e-10,1.43e-31,66.125
5.26e-05,0.63153,0.04804,1.82e-18,8590.9,3.88e-09,1.94e-31,51.701
4.07e-05,0.56884,0.061607,9.74e-19,39325,4.68e-09,2.17e-31,42.384
4e-05,0.88963,0.060055,1.61e-17,3538.6,9.75e-09,1.47e-30,36.776
2.1e-05,0.78471,0.038517,1.77e-18,1.0042e+05,1.9e-08,1.47e-31,30.737
5.68e-05,0.66891,0.044453,3e-19,77997,1.1e-10,9.46e-32,57.447
4.98e-05,0.61585,0.052755,1.06e-17,2.1316e+05,5.32e-10,3.51e-30,48.831
4.1e-05,0.6953,0.060707,1.66e-18,88839,3.19e-08,1.02e-31,41.49
3.98e-05,0.5572,0.053775,1.76e-17,13349,5.74e-08,2.36e-31,46.095
2.5e-05,0.77623,0.055125,3.09e-18,2.5514e+05,3.11e-08,1.98e-31,32.409
4.46e-05,0.74486,0.031539,4.28e-18,31423,3.56e-10,1.87e-31,46.472
2.59e-05,0.69269,0.04096,3.16e-18,81388,5.28e-10,1.22e-30,32.322
4.17e-05,0.85795,0.056942,2.02e-18,78269,3.05e-10,1.55e-30,37.793
3.78e-05,0.8475,0.058303,5.58e-18,88705,3.93e-10,4.28e-30,35.274
2.3e-05,0.55237,0.061693,8.59e-19,5947.6,5.79e-08,6.41e-31,39.016
5.92e-05,0.76635,0.042815,2.75e-19,1.0835e+05,3.22e-10,4.81e-31,58.844
4.99e-05,0.63108,0.040496,1.52e-18,3226.8,9.56e-10,3.16e-31,51.802
2.66e-05,0.60148,0.047596,1.55e-17,31890,1.46e-08,2.02e-30,36.947
2.01e-05,0.89778,0.041719,3.13e-18,32778,1.63e-10,3.79e-30,28.657
5.99e-05,0.82968,0.015477,1.55e-17,3723.7,1.1e-08,7.64e-32,66.9
4.69e-05,0.66667,0.037027,3.26e-19,99048,2.94e-10,1.24e-31,50.015
5.94e-05,0.75278,0.033526,1.15e-18,29381,6.68e-11,5.99e-31,60.475
5.33e-05,0.74759,0.032353,6.07e-19,1.546e+05,4.99e-10,1.15e-31,54.219
4.65e-05,0.53268,0.028181,1.48e-18,1.4315e+05,2.12e-09,2.09e-31,57.113
2.31e-05,0.55277,0.016148,1.82e-17,83342,1.5e-08,3.06e-31,40.361
3.46e-05,0.83975,0.027019,8.56e-19,34067,5.34e-08,1.83e-31,44.848
5.14e-05,0.62818,0.01724,1.52e-17,2.6998e+05,5.79e-10,2.12e-31,61.692
3.97e-05,0.85527,0.053244,1.77e-17,1.764e+05,5.24e-08,2.25e-31,39.806
5.16e-05,0.54795,0.061423,4.41e-19,87647,3.27e-09,3.09e-31,49.597
4.92e-05,0.69582,0.059711,5.39e-19,19587,2.83e-08,6.85e-32,45.155
3.66e-05,0.61292,0.020506,1.09e-18,17707,2.62e-09,1.25e-30,49.846
4.71e-05,0.57265,0.016341,2.58e-18,19779,8.29e-10,5.25e-31,59.277
5.6e-05,0.85935,0.042982,1.31e-17,1.2703e+05,7.11e-11,2.14e-30,50.586
2.35e-05,0.82712,0.033534,6.12e-19,29285,4.46e-08,1.09e-30,37.643
3.07e-05,0.54308,0.047558,1.08e-18,42097,1.1e-10,1.49e-31,39.79
3.27e-05,0.85772,0.025628,1.29e-17,24102,5.85e-09,1.55e-31,38.789
2.08e-05,0.56012,0.06124,4.1e-18,20692,4.48e-10,2.16e-30,36.86
4.08e-05,0.60369,0.020662,8.61e-18,10614,1.95e-10,1.03e-30,50.504
3.92e-05,0.57615,0.033928,1.29e-18,2.7282e+05,3.01e-09,3.86e-31,48.963
4.61e-05,0.57039,0.047807,2.06e-18,73618,3.11e-10,1.16e-30,50.11
2.66e-05,0.67571,0.055325,1.26e-17,13882,8.55e-09,2.37e-30,33.548
2.06e-05,0.8852,0.051049,1.12e-17,3584.2,9.31e-11,4.77e-30,28.097
5.46e-05,0.57805,0.062641,5.07e-19,6090.5,1.61e-10,3.56e-31,58.674
