dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,5.0909e+21,34.609,14.245
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,6.054e+21,48.863,24.647
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,7.0172e+21,68.471,40.402
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,7.9803e+21,88.81,56.889
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,1.1007e+21,4.4031,0.00012066
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,2.0639e+21,8.2558,0.00023995
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,3.027e+21,12.585,0.47681
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,3.9902e+21,19.555,3.5945
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,5.0909e+21,32.19,11.826
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,6.054e+21,45.003,20.787
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,7.0172e+21,62.297,34.228
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,7.9803e+21,79.658,47.737
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,1.1007e+21,4.4032,0.00023877
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,2.0639e+21,8.256,0.00044851
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,3.027e+21,12.52,0.41235
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,3.9902e+21,19.062,3.1013
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,5.0909e+21,30.559,10.195
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,6.054e+21,42.069,17.853
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,7.0172e+21,57.261,29.192
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,7.9803e+21,72.191,40.269
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,1.1007e+21,4.689,0.28608
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,2.0639e+21,8.8363,0.58076
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,3.027e+21,13.578,1.4702
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,3.9902e+21,21.283,5.3226
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,5.0909e+21,35.548,15.184
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,6.054e+21,55.67,31.454
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,7.0172e+21,112.08,84.007
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,7.9803e+21,195.56,163.64
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,1.1007e+21,5.3383,0.93537
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,2.0639e+21,9.9088,1.6533
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,3.027e+21,14.414,2.3056
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,3.9902e+21,18.961,3.0005
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,5.0909e+21,28.379,8.0158
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,6.054e+21,51.245,27.029
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,7.0172e+21,97.01,68.942
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,7.9803e+21,111.17,79.252
