dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,1.007e+21,7.5428,3.5148
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,2.0004e+21,12.55,4.5488
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,3.0074e+21,17.379,5.3495
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,4.0008e+21,29.25,13.247
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,5.0077e+21,45.991,25.96
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,6.0011e+21,61.489,37.484
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,7.0081e+21,68.814,40.781
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,8.0015e+21,72.816,40.81
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,1.007e+21,4.1831,0.15517
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,2.0004e+21,8.2409,0.23935
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,3.0074e+21,12.28,0.25006
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,4.0008e+21,16.335,0.3324
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,5.0077e+21,20.638,0.60715
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,6.0011e+21,25.948,1.944
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,7.0081e+21,30.56,2.5274
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,8.0015e+21,34.54,2.5343
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,1.007e+21,9.8878,5.8598
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,2.0004e+21,16.415,8.4138
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,3.0074e+21,21.185,9.1551
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,4.0008e+21,25.168,9.1649
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,5.0077e+21,29.196,9.1653
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,6.0011e+21,33.173,9.168
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,7.0081e+21,37.206,9.1736
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,8.0015e+21,41.186,9.1803
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,1.007e+21,4.2876,0.25963
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,2.0004e+21,8.2611,0.25963
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,3.0074e+21,12.289,0.25977
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,4.0008e+21,19.793,3.79
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,5.0077e+21,30.59,10.559
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,6.0011e+21,41.223,17.219
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,7.0081e+21,47.462,19.429
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,8.0015e+21,51.451,19.445
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,1.007e+21,5.9908,1.9628
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,2.0004e+21,9.9972,1.9957
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,3.0074e+21,14.252,2.2225
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,4.0008e+21,25.639,9.6364
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,5.0077e+21,41.804,21.773
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,6.0011e+21,56.949,32.945
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,7.0081e+21,64.423,36.39
4.32e-05,0.53298,0.035775,3e-18,23177.0,9.82e-10,2.01e-30,8.0015e+21,68.5,36.494
2.14e-05,0.88422,0.025718,2.2e-18,277890.0,5.09e-09,1.36e-31,1.007e+21,4.2077,0.17975
2.14e-05,0.88422,0.025718,2.2e-18,277890.0,5.09e-09,1.36e-31,2.0004e+21,8.3092,0.30766
2.14e-05,0.88422,0.025718,2.2e-18,277890.0,5.09e-09,1.36e-31,3.0074e+21,12.337,0.30766
2.14e-05,0.88422,0.025718,2.2e-18,277890.0,5.09e-09,1.36e-31,4.0008e+21,16.311,0.30766
2.14e-05,0.88422,0.025718,2.2e-18,277890.0,5.09e-09,1.36e-31,5.0077e+21,20.36,0.32889
2.14e-05,0.88422,0.025718,2.2e-18,277890.0,5.09e-09,1.36e-31,6.0011e+21,24.382,0.37793
2.14e-05,0.88422,0.025718,2.2e-18,277890.0,5.09e-09,1.36e-31,7.0081e+21,28.648,0.61511
2.14e-05,0.88422,0.025718,2.2e-18,277890.0,5.09e-09,1.36e-31,8.0015e+21,32.625,0.61911
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,1.007e+21,4.3409,0.31297
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,2.0004e+21,9.1528,1.1513
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,3.0074e+21,14.474,2.4445
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,4.0008e+21,26.128,10.125
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,5.0077e+21,42.55,22.519
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,6.0011e+21,57.799,33.795
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,7.0081e+21,66.75,38.717
