dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,5.0077e+21,28.019,7.9881
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,6.0011e+21,39.361,15.356
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,7.0081e+21,55.031,26.998
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,8.0015e+21,68.761,36.755
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,1.007e+21,4.028,1.2987e-08
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,2.0004e+21,8.0015,1.5386e-08
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,3.0074e+21,12.168,0.13873
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,4.0008e+21,17.713,1.7105
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,5.0077e+21,25.815,5.7839
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,6.0011e+21,35.767,11.762
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,7.0081e+21,48.016,19.984
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,8.0015e+21,59.817,27.811
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,1.007e+21,4.028,7.0017e-08
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,2.0004e+21,8.0015,1.8971e-05
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,3.0074e+21,12.202,0.17236
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,4.0008e+21,17.721,1.7184
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,5.0077e+21,25.561,5.5302
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,6.0011e+21,35.018,11.013
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,7.0081e+21,45.994,17.962
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,8.0015e+21,56.291,24.285
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,1.007e+21,4.2342,0.20618
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,2.0004e+21,8.4568,0.45525
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,3.0074e+21,12.991,0.96194
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,4.0008e+21,19.335,3.3324
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,5.0077e+21,28.519,8.4881
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,6.0011e+21,39.584,15.579
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,7.0081e+21,52.496,24.463
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,8.0015e+21,65.613,33.607
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,1.007e+21,4.7475,0.71954
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,2.0004e+21,9.3386,1.3371
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,3.0074e+21,13.89,1.8606
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,4.0008e+21,18.251,2.2477
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,5.0077e+21,22.463,2.432
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,6.0011e+21,29.55,5.5457
