dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,5.0077e+21,64.48,44.449
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,6.0011e+21,92.064,68.06
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,7.0081e+21,102.96,74.932
5.04e-05,0.71982,0.025329,5.66e-19,3764.6,1.32e-10,7.46e-32,8.0015e+21,106.98,74.977
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,1.007e+21,4.028,1.2744e-06
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,2.0004e+21,8.0015,1.2767e-06
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,3.0074e+21,13.203,1.1737
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,4.0008e+21,29.314,13.311
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,5.0077e+21,53.704,33.673
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,6.0011e+21,77.586,53.581
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,7.0081e+21,87.943,59.911
5.13e-05,0.87774,0.027974,1.94e-17,5463.7,1.51e-10,1.89e-30,8.0015e+21,91.957,59.951
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,1.007e+21,4.028,1.9296e-06
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,2.0004e+21,8.0015,2.0721e-06
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,3.0074e+21,13.051,1.0216
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,4.0008e+21,27.52,11.517
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,5.0077e+21,48.741,28.71
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,6.0011e+21,69.11,45.105
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,7.0081e+21,78.282,50.249
3.55e-05,0.64715,0.018755,1.37e-17,57264.0,1.32e-09,1.01e-30,8.0015e+21,82.289,50.283
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,1.007e+21,7.1234,3.0954
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,2.0004e+21,14.756,6.7546
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,3.0074e+21,23.176,11.146
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,4.0008e+21,44.176,28.173
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,5.0077e+21,79.826,59.795
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,6.0011e+21,141.17,117.16
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,7.0081e+21,269.91,241.88
4.63e-05,0.5396,0.044983,1.1e-18,161160.0,2.19e-10,3.6e-31,8.0015e+21,645.77,613.77
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,1.007e+21,11.754,7.7258
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,2.0004e+21,23.35,15.348
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,3.0074e+21,34.862,22.833
2.43e-05,0.78103,0.034747,6.62e-19,160270.0,1.06e-09,3.85e-30,4.0008e+21,42.831,26.828
