dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,FD,fuel_swelling,fuel_gas_swelling
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,1.007e+21,4.5983,0.57038
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,2.0004e+21,8.7452,0.74371
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,3.0074e+21,13.564,1.5344
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,4.0008e+21,21.609,5.6059
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,5.0077e+21,34.224,14.193
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,6.0011e+21,49.93,25.925
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,7.0081e+21,68.931,40.898
4.7e-05,0.73287,0.024712,1.89e-18,139930.0,4.81e-09,2.59e-30,8.0015e+21,86.993,54.987
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,1.007e+21,4.0335,0.0054964
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,2.0004e+21,8.0102,0.0086937
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,3.0074e+21,12.055,0.02503
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,4.0008e+21,16.669,0.6661
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,5.0077e+21,23.295,3.2636
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,6.0011e+21,31.599,7.5944
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,7.0081e+21,41.482,13.449
2.69e-05,0.70911,0.042553,4.68e-18,46159.0,7.21e-11,1.28e-31,8.0015e+21,51.022,19.016
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,1.007e+21,5.0316,1.0036
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,2.0004e+21,9.4104,1.4089
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,3.0074e+21,13.563,1.534
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,4.0008e+21,18.968,2.9652
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,5.0077e+21,28.362,8.3312
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,6.0011e+21,41.905,17.9
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,7.0081e+21,61.708,33.675
3.03e-05,0.86004,0.029106,2.6e-18,196070.0,2.61e-10,3.76e-30,8.0015e+21,90.799,58.793
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,1.007e+21,4.0559,0.027974
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,2.0004e+21,8.0295,0.027974
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,3.0074e+21,12.376,0.34621
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,4.0008e+21,18.804,2.8011
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,5.0077e+21,28.474,8.4432
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,6.0011e+21,40.377,16.372
3.75e-05,0.87533,0.023223,4.54e-18,33829.0,6.69e-09,1.84e-30,7.0081e+21,54.487,26.454
