dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
3.19e-05,0.73994,0.040017,4.61e-18,1.5364e+05,1.3e-08,1.66e-30,67.282
2.01e-05,0.75496,0.021565,1.82e-18,2.0125e+05,3.92e-08,8.28e-32,46.29
4.64e-05,0.81486,0.028978,2.85e-19,2.5062e+05,6.53e-09,1.7e-31,127.51
2.74e-05,0.69418,0.03196,4.39e-18,53692,2.23e-09,9.23e-31,59.615
4.14e-05,0.68364,0.019675,7.16e-18,3610.9,1.26e-08,3.81e-30,112.4
5.19e-05,0.58997,0.05395,5.04e-18,9649.1,2.69e-10,1.12e-30,121.96
2.73e-05,0.81272,0.055019,7.96e-18,2.6943e+05,1.47e-10,1.11e-31,41.938
5.61e-05,0.54602,0.063919,6.5e-18,4403.9,1.8e-08,3.66e-30,102.94
5.93e-05,0.90095,0.053459,1.47e-18,4394.1,2.13e-09,7e-31,105.07
5.59e-05,0.90492,0.039424,1.85e-18,15610,2.68e-08,1.7e-31,105.42
2.54e-05,0.73088,0.04539,7.48e-19,26582,1.16e-08,1.75e-31,50.721
4.04e-05,0.74733,0.028019,1.61e-18,38862,2.78e-09,1.05e-30,98.528
2.57e-05,0.84288,0.053066,2.01e-18,4173.9,2.19e-08,4.71e-31,44.115
2.83e-05,0.79661,0.058843,3.54e-18,1.0556e+05,8.01e-11,2.48e-31,43.4
4.82e-05,0.69508,0.030664,5.96e-18,92836,4.21e-10,1.82e-30,121.98
2.56e-05,0.62887,0.050045,1.6e-17,11939,1.03e-10,1.5e-30,51.496
3.38e-05,0.61087,0.049781,8.28e-18,94180,2.87e-08,6.7e-32,72.142
4.56e-05,0.5201,0.055641,1.12e-17,3250.9,1.57e-10,2.23e-31,113.85
2.32e-05,0.69253,0.049999,2.43e-18,8127.7,4.11e-10,7.95e-32,41.944
5.88e-05,0.79168,0.03506,4.9e-18,36771,4.22e-09,3.37e-30,129.8
2.6e-05,0.688,0.029565,1.09e-17,70410,3.04e-10,5.19e-32,53.37
5.97e-05,0.77014,0.017644,6.55e-19,8087.5,9.58e-09,2.01e-31,157.8
4.33e-05,0.64527,0.023409,1.35e-17,32453,1.27e-10,1.27e-30,118.22
5.64e-05,0.52709,0.038964,3.28e-18,6119.8,1.13e-08,1.69e-31,138.56
5.75e-05,0.51843,0.0325,2.17e-18,1.3169e+05,5.91e-10,1.43e-31,169.43
5.26e-05,0.63153,0.04804,1.82e-18,8590.9,3.88e-09,1.94e-31,115.51
4.07e-05,0.56884,0.061607,9.74e-19,39325,4.68e-09,2.17e-31,93.616
4e-05,0.88963,0.060055,1.61e-17,3538.6,9.75e-09,1.47e-30,61.993
2.1e-05,0.78471,0.038517,1.77e-18,1.0042e+05,1.9e-08,1.47e-31,39.202
4.98e-05,0.61585,0.052755,1.06e-17,2.1316e+05,5.32e-10,3.51e-30,116.45
4.1e-05,0.6953,0.060707,1.66e-18,88839,3.19e-08,1.02e-31,73.518
3.98e-05,0.5572,0.053775,1.76e-17,13349,5.74e-08,2.36e-31,84.08
2.5e-05,0.77623,0.055125,3.09e-18,2.5514e+05,3.11e-08,1.98e-31,46.049
4.46e-05,0.74486,0.031539,4.28e-18,31423,3.56e-10,1.87e-31,104.15
2.09e-05,0.71692,0.051186,7.77e-19,1.2109e+05,9.15e-10,6.09e-32,37.465
4.99e-05,0.63108,0.040496,1.52e-18,3226.8,9.56e-10,3.16e-31,122.52
2.66e-05,0.60148,0.047596,1.55e-17,31890,1.46e-08,2.02e-30,59.306
5.99e-05,0.82968,0.015477,1.55e-17,3723.7,1.1e-08,7.64e-32,148.23
5.33e-05,0.74759,0.032353,6.07e-19,1.546e+05,4.99e-10,1.15e-31,135.21
4.65e-05,0.53268,0.028181,1.48e-18,1.4315e+05,2.12e-09,2.09e-31,143.05
2.31e-05,0.55277,0.016148,1.82e-17,83342,1.5e-08,3.06e-31,66.421
3.46e-05,0.83975,0.027019,8.56e-19,34067,5.34e-08,1.83e-31,80.675
5.14e-05,0.62818,0.01724,1.52e-17,2.6998e+05,5.79e-10,2.12e-31,150.58
3.97e-05,0.85527,0.053244,1.77e-17,1.764e+05,5.24e-08,2.25e-31,66.625
4.92e-05,0.69582,0.059711,5.39e-19,19587,2.83e-08,6.85e-32,90.53
4.71e-05,0.57265,0.016341,2.58e-18,19779,8.29e-10,5.25e-31,147.51
5.6e-05,0.85935,0.042982,1.31e-17,1.2703e+05,7.11e-11,2.14e-30,113.25
3.27e-05,0.85772,0.025628,1.29e-17,24102,5.85e-09,1.55e-31,64.111
4.08e-05,0.60369,0.020662,8.61e-18,10614,1.95e-10,1.03e-30,117.43
3.92e-05,0.57615,0.033928,1.29e-18,2.7282e+05,3.01e-09,3.86e-31,114.79
2.66e-05,0.67571,0.055325,1.26e-17,13882,8.55e-09,2.37e-30,51.734
2.06e-05,0.8852,0.051049,1.12e-17,3584.2,9.31e-11,4.77e-30,63.911
6e-05,0.50953,0.020848,5.55e-18,7324.3,3.6e-08,1.02e-30,180.81
3.62e-05,0.55888,0.050787,1.32e-17,1.4904e+05,1.01e-09,1.53e-31,85.242
