dGrainHBS,FaceCovMax,SwellLink,vResol,DatomFissGBx,fNucleate,aAtomDifFiss,fuel_swelling
3.62e-05,0.55888,0.050787,1.32e-17,1.4904e+05,1.01e-09,1.53e-31,53.195
4.82e-05,0.86274,0.020737,3.78e-18,71829,6.18e-11,1.45e-30,61.502
2e-05,0.56146,0.053335,2.01e-18,1.1623e+05,2.88e-10,1.42e-31,34.69
2.05e-05,0.78844,0.05894,1.97e-17,68773,3.1e-08,4.18e-30,31.797
2.68e-05,0.81589,0.046856,5.06e-18,6360,4.41e-10,8.87e-32,35.238
5.1e-05,0.71059,0.054428,9.4e-19,56709,8.75e-09,2.68e-31,57.259
2.27e-05,0.56707,0.043479,9.85e-19,20128,1.52e-08,2.11e-31,40.764
3.51e-05,0.71799,0.032312,3.42e-18,1.6765e+05,2.12e-09,6.97e-31,51.117
2.36e-05,0.69895,0.038568,2.08e-18,21318,1.84e-10,1.13e-31,35.427
2.82e-05,0.59764,0.033272,6.96e-18,4295.1,1.78e-08,8.95e-31,48.943
4.33e-05,0.705,0.062022,8.94e-18,12505,1.79e-10,3.87e-31,53.493
3.3e-05,0.55441,0.046738,1.36e-17,3739.1,3.47e-10,5.76e-32,50.873
2.89e-05,0.50701,0.042738,5.62e-19,4382.3,1.36e-08,9.9e-32,49.67
3.41e-05,0.77071,0.054517,4.58e-18,7004.5,1.34e-10,6.5e-32,43.412
2.34e-05,0.73213,0.050909,4.75e-18,6188.4,1.83e-10,1.61e-31,33.331
5.14e-05,0.87133,0.042688,1.23e-17,8357.9,1.11e-09,2.62e-31,57.237
5.49e-05,0.66631,0.038838,1.88e-18,79755,1.33e-08,4.82e-30,70.483
4.1e-05,0.66511,0.053605,3.24e-18,40453,1.83e-08,2.5e-30,52.46
3.07e-05,0.50397,0.020926,5.82e-18,11098,2.58e-10,1.09e-30,57.064
3.73e-05,0.78798,0.033731,6.03e-18,1.2385e+05,1.14e-09,3.65e-31,50.099
5.73e-05,0.77494,0.048349,1.11e-18,22476,4.28e-10,1.66e-31,64.434
5.05e-05,0.83917,0.032648,1.63e-18,8402.1,2.83e-08,1.38e-31,62.463
3.93e-05,0.77923,0.031566,5.16e-18,71624,2.35e-09,3.47e-30,53.672
4.93e-05,0.81788,0.035207,3.48e-19,12329,4.07e-10,1.07e-31,60.794
4.3e-05,0.58172,0.042508,1.23e-18,2.1505e+05,3.09e-09,2.94e-31,60.855
4.01e-05,0.68824,0.052962,4.12e-18,91023,2.33e-08,1.1e-30,51.368
5.47e-05,0.60771,0.020989,4.13e-18,32545,5.61e-09,2.71e-31,77.378
4.16e-05,0.5021,0.038155,1.78e-17,43388,4.17e-08,3.61e-31,63.466
3.39e-05,0.75761,0.036536,2.19e-18,4427.4,1.15e-09,4.49e-31,46.92
4.96e-05,0.61029,0.047265,1.08e-17,6945.5,2.92e-08,6.87e-32,61.039
2.16e-05,0.81649,0.039088,1.62e-18,2.2517e+05,1.87e-08,8.13e-31,34.225
4.17e-05,0.89899,0.036342,8.24e-18,7918.1,8.89e-11,1.76e-30,49.803
4.59e-05,0.87185,0.022568,5.65e-18,90206,3.17e-08,4.53e-31,62.287
5e-05,0.73553,0.025291,1.34e-18,82868,3.33e-08,7.2e-31,69.092
4.11e-05,0.80523,0.058695,1.39e-18,1.1701e+05,1.01e-08,9.85e-32,47.089
5.54e-05,0.58864,0.055187,7e-18,1.8477e+05,4.59e-09,6.35e-31,62.493
2.92e-05,0.64366,0.046595,3.5e-18,14233,5.28e-08,1.97e-31,45.853
4.9e-05,0.87501,0.05381,1.62e-17,9335.9,1.07e-09,3.08e-30,52.887
5.31e-05,0.61903,0.021637,1.42e-18,79931,1.73e-08,1.35e-31,76.233
3.05e-05,0.60725,0.059858,1.45e-17,5305.6,7.27e-09,6.22e-31,43.851
3.11e-05,0.66843,0.034943,8.73e-18,30749,2.25e-08,5.25e-32,49.334
4.85e-05,0.90555,0.021371,2.96e-18,34865,3.91e-08,7.43e-32,64.198
5.95e-05,0.71492,0.026264,4.72e-19,4231.2,4.44e-08,4.44e-31,76.425
5.22e-05,0.66103,0.023627,3.39e-18,18590,5.12e-08,2.15e-31,74.174
3.52e-05,0.63097,0.064704,1.58e-18,2.8693e+05,1.55e-08,7.06e-32,45.503
4.49e-05,0.72054,0.045284,1.58e-17,1.5526e+05,2.42e-08,4.81e-30,56.691
3.79e-05,0.88344,0.030499,1.17e-18,1.0589e+05,5.51e-08,5.18e-32,52.611
5.5e-05,0.76395,0.027107,5.48e-19,12220,4.37e-10,3.17e-31,70.838
2.52e-05,0.87953,0.026705,3.96e-18,3506.8,7.11e-10,5.93e-31,33.95
5.7e-05,0.64236,0.018135,1.53e-18,47584,4.15e-08,4.95e-31,81.742
4.32e-05,0.58219,0.033668,3.05e-18,18983,4.39e-08,1.93e-31,64.431
2.96e-05,0.79141,0.038631,7.03e-18,6355.9,2.09e-09,5.28e-31,41.185
4.54e-05,0.61461,0.017946,3.91e-18,8774.4,1.88e-08,1.81e-30,72.181
3.8e-05,0.86101,0.028874,2.59e-18,10654,1.23e-10,1.52e-30,48.53
4.18e-05,0.67026,0.015896,1.3e-18,4142.8,5.52e-10,1.43e-31,63.883
3.68e-05,0.58015,0.064565,2.93e-19,2.3582e+05,6.17e-09,1.14e-31,52.325
3.18e-05,0.50007,0.064101,9.35e-18,1.1236e+05,8.99e-11,9.68e-31,50.855
2.24e-05,0.62188,0.055441,1.27e-17,1.0514e+05,3.58e-08,2.22e-31,37.407
2.39e-05,0.59007,0.020576,3.95e-19,14302,1.91e-09,6.02e-32,44.738
5.81e-05,0.769,0.020415,5.5e-18,33340,2.1e-08,2.85e-30,76.201
