ID,dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,fuel_swelling,fuel_gas_swelling
41,5.22E-05,0.8100167066,0.05349540837,2.29E-09,11389.4874,2.99E-07,1.14E-09,1.68E-18,9.50E-07,11.72135993,2.500751898
42,7.88E-05,0.7685872811,0.02919504572,2.54E-09,20084.59436,1.92E-07,1.89E-09,2.18E-18,3.42E-07,10.97209839,1.751490355
43,3.24E-05,0.8398447747,0.07373948639,6.79E-10,47524.4003,4.88E-08,2.62E-09,3.61E-18,4.18E-07,16.83927633,7.618668291
44,3.67E-05,0.5729311751,0.0443826179,4.04E-09,31748.00742,3.28E-07,2.41E-09,1.32E-18,3.55E-07,10.52314499,1.302536951
45,2.18E-05,0.6394422724,0.04233139055,3.43E-09,26664.6976,2.96E-07,1.01E-09,3.98E-18,7.27E-07,9.334465571,0.1138575346
46,1.12E-05,0.8292126331,0.05240509057,6.84E-10,14637.18647,3.80E-07,1.75E-09,3.46E-18,6.09E-07,14.35727811,5.136670069
47,9.79E-05,0.5754616156,0.0541246397,4.68E-09,40459.91401,1.34E-07,2.27E-09,3.10E-18,3.81E-07,9.487169224,0.2665611873
48,8.06E-05,0.9044588869,0.06673762896,2.29E-09,8228.645717,2.79E-07,4.09E-10,1.12E-18,6.80E-07,13.79852407,4.577916032
49,5.18E-05,0.8497638628,0.04486675897,2.04E-09,18151.87638,1.69E-07,2.53E-09,3.72E-18,8.85E-07,9.624400104,0.4037920667
50,8.66E-05,0.7274155077,0.05029136797,4.19E-09,43199.7851,3.45E-08,2.94E-09,1.94E-18,6.98E-07,10.28560353,1.064995489
51,7.03E-05,0.5773989581,0.0101690992,1.81E-09,6653.904686,1.29E-07,2.77E-09,3.07E-18,5.40E-07,9.80966347,0.589055433
52,2.49E-05,0.7170047805,0.05096141382,1.48E-09,22257.54633,1.83E-07,1.90E-09,2.23E-18,5.18E-07,13.2867304,4.066122367
53,1.39E-05,0.5691266677,0.03430052061,2.03E-09,30176.90915,7.86E-08,1.97E-09,1.95E-18,8.14E-07,13.57024262,4.34963458
54,9.54E-05,0.7096875876,0.06373208915,4.18E-09,23131.65358,1.48E-07,8.06E-10,4.00E-18,7.19E-07,9.417478667,0.19687063
55,2.30E-05,0.5909153227,0.07336102973,4.27E-09,38547.04929,6.65E-08,1.54E-09,2.37E-18,8.81E-07,9.891699628,0.6710915916
56,7.00E-05,0.9010160495,0.03350812087,1.09E-09,42811.76318,2.47E-07,1.18E-09,2.23E-18,2.64E-07,15.71396104,6.493353
57,9.08E-05,0.6601686415,0.01448249986,2.84E-09,15299.9128,8.61E-08,2.00E-09,1.05E-18,5.58E-07,13.78447339,4.563865355
58,1.50E-05,0.7644597236,0.03410470059,2.80E-09,40007.09662,2.53E-09,4.28E-10,3.76E-18,5.81E-07,11.5167588,2.296150763
59,8.57E-05,0.8459249123,0.03709161828,1.33E-09,31125.88907,1.31E-07,2.72E-09,2.67E-18,4.42E-07,13.516377,4.295768967
60,6.21E-05,0.7160537445,0.05034089348,3.50E-09,29377.96441,2.44E-07,8.00E-10,3.24E-18,7.21E-07,9.748279869,0.5276718317
61,9.96E-05,0.9036153427,0.06783897193,1.93E-09,39416.6455,1.18E-07,2.98E-09,2.02E-18,8.18E-07,12.90241647,3.681808436
62,8.13E-05,0.5473351938,0.02503900633,3.96E-09,34556.73174,3.36E-07,5.41E-10,2.54E-18,3.04E-07,10.37045643,1.149848394
63,5.90E-05,0.5157399393,0.04448647511,1.15E-09,44524.77861,1.97E-07,1.60E-09,3.79E-18,8.15E-07,14.06949339,4.848885358
64,8.95E-05,0.6492016095,0.01042634582,4.36E-09,41731.42414,8.45E-08,2.88E-09,2.63E-18,4.33E-07,9.74315094,0.5225429033
65,1.15E-05,0.7187696144,0.04832837605,9.03E-10,16259.95761,9.11E-09,7.80E-10,3.68E-18,4.14E-07,16.22518314,7.0045751
66,1.30E-05,0.8225704022,0.01238796597,3.05E-09,12320.4978,3.63E-07,6.36E-10,3.67E-18,9.10E-07,9.432927643,0.2123196061
67,7.42E-05,0.718746666,0.01062636599,8.91E-10,40253.75306,1.85E-07,2.57E-09,1.68E-18,4.72E-07,17.76977617,8.549168129
68,5.23E-05,0.7755859856,0.03161286714,3.08E-09,17051.17581,8.85E-08,1.33E-09,3.20E-18,9.02E-07,9.537142228,0.3165341913
69,5.60E-05,0.5589269646,0.03201461792,6.07E-10,23223.02271,1.57E-07,2.15E-09,1.37E-18,7.01E-07,20.00767507,10.78706703
70,9.68E-05,0.8726092686,0.06840929314,4.57E-09,32805.68865,2.29E-08,6.08E-10,1.62E-18,7.78E-07,12.00001802,2.779409987
71,4.07E-05,0.5584634172,0.01882710624,1.32E-09,46342.25334,2.80E-07,2.23E-09,3.45E-18,5.91E-07,12.86968559,3.64907755
72,8.70E-05,0.795162551,0.07672516387,3.99E-09,28631.94436,1.58E-07,3.77E-10,1.08E-18,4.93E-07,13.21989241,3.999284377
73,8.74E-05,0.9058180198,0.04208649287,2.46E-09,33148.60314,4.42E-08,8.37E-10,2.91E-18,2.63E-07,12.00804757,2.787439533
74,6.20E-05,0.6817925886,0.02036034963,3.70E-09,38439.6478,8.25E-08,1.87E-09,2.68E-18,7.30E-07,9.897120969,0.6765129324
75,8.91E-05,0.586164491,0.05148659498,3.40E-09,42773.06083,2.19E-07,3.70E-10,3.76E-18,4.61E-07,10.31816921,1.097561175
76,1.08E-05,0.7709563336,0.0234184029,3.91E-09,7439.054264,2.18E-07,6.03E-10,3.55E-18,8.67E-07,9.224355273,0.003747235805
77,3.99E-05,0.5536923319,0.03836346412,2.55E-09,46458.19043,2.68E-07,1.78E-09,3.02E-18,6.01E-07,10.45378618,1.23317814
78,8.64E-05,0.7357548697,0.04145632107,3.67E-09,48632.07583,1.02E-07,1.15E-09,2.10E-18,8.87E-07,11.22235459,2.00174655
79,8.11E-05,0.7584139508,0.04469535607,2.42E-09,29442.39941,6.51E-08,1.40E-09,1.11E-18,5.72E-07,15.23914548,6.018537443
80,4.97E-05,0.7440713454,0.03848738473,6.25E-10,18951.82918,1.16E-07,2.59E-09,1.97E-18,5.90E-07,17.98998121,8.769373177
81,3.55E-05,0.8111721308,0.01555802378,2.67E-09,40366.89194,1.03E-07,2.01E-09,1.96E-18,7.80E-07,11.83341987,2.612811835
82,1.03E-05,0.5006667913,0.01808519553,2.51E-09,21942.1305,3.98E-07,9.29E-10,2.55E-18,8.28E-07,10.70463469,1.484026653
83,7.66E-05,0.816806283,0.06709439102,2.17E-09,30236.5116,1.33E-07,1.26E-09,3.50E-18,7.67E-07,10.80303648,1.582428441
84,2.61E-05,0.6431530223,0.03185522192,7.96E-10,17093.24374,5.76E-08,2.30E-09,3.47E-18,9.87E-07,15.78576395,6.565155913
85,7.40E-05,0.6371199661,0.02302439782,1.27E-09,31736.43324,7.96E-08,7.28E-10,2.48E-18,4.20E-07,16.83352604,7.612918005
86,7.30E-05,0.8424364296,0.01074138776,2.23E-09,42377.12736,3.19E-07,1.47E-09,3.50E-18,4.88E-07,10.67136153,1.450753496
87,1.82E-05,0.87950027,0.05296004985,3.93E-09,37736.96615,2.01E-07,2.74E-09,1.22E-18,8.92E-07,11.09175067,1.871142632
88,1.59E-05,0.5056023115,0.04103782377,1.03E-09,16940.63565,1.66E-07,1.30E-09,2.35E-18,3.35E-07,16.18673911,6.966131069
89,7.73E-05,0.6325968471,0.0693329533,3.94E-09,31864.82538,2.22E-07,5.83E-10,3.64E-18,9.79E-07,9.608671655,0.3880636183
90,8.20E-05,0.7226019946,0.07251841142,1.45E-09,16319.5879,2.72E-07,2.67E-09,3.81E-18,6.97E-07,10.37094672,1.150338686
91,4.48E-05,0.7069875233,0.02268738019,3.22E-09,14241.612,1.72E-07,1.35E-09,3.48E-18,9.57E-07,9.338870258,0.1182622208
92,7.06E-05,0.6346727949,0.05725227823,4.65E-09,46713.19307,2.85E-07,1.47E-09,3.01E-18,4.96E-07,9.464266634,0.2436585967
93,6.95E-05,0.5852490862,0.01197999091,3.14E-09,26100.36668,3.62E-07,4.27E-10,3.88E-18,7.20E-07,10.02248214,0.8018741042
94,2.55E-05,0.8942968951,0.06460736664,4.75E-09,8047.584868,2.23E-07,2.47E-09,1.51E-18,7.76E-07,9.266171918,0.04556388114
95,8.38E-05,0.8043745473,0.01790477895,6.59E-10,33730.65961,2.61E-07,2.82E-09,2.39E-18,8.13E-07,16.98797092,7.767362883
96,7.14E-05,0.885472182,0.01205376009,4.98E-09,15152.41444,2.11E-07,6.22E-10,3.58E-18,6.74E-07,9.482762947,0.2621549102
97,9.53E-05,0.6520481363,0.01637888739,6.63E-10,45291.22361,1.06E-08,2.14E-09,3.44E-18,8.91E-07,20.29338293,11.07277489
98,5.58E-05,0.8009292218,0.02637879368,4.56E-09,18637.48805,2.14E-07,2.28E-09,1.25E-18,7.40E-07,10.08691158,0.8663035446
99,1.62E-05,0.5419338252,0.04048673059,4.44E-09,26754.60714,3.90E-07,1.83E-09,1.19E-18,3.91E-07,10.49275264,1.2721446
100,9.82E-05,0.889691293,0.05138906944,3.99E-09,16179.22,1.27E-07,1.48E-09,1.93E-18,7.64E-07,9.870630613,0.6500225763
101,1.35E-05,0.8128431233,0.01578487566,5.00E-09,47672.07057,3.10E-07,2.92E-09,3.71E-18,6.94E-07,9.220652969,4.49E-05
102,8.79E-05,0.7284084575,0.07344095751,2.01E-09,46181.80508,2.48E-07,7.36E-10,1.57E-18,9.56E-07,14.65451776,5.433909727
103,2.15E-05,0.723131247,0.02108817805,2.38E-09,45995.3652,1.32E-07,1.93E-09,1.50E-18,4.43E-07,13.41173066,4.19112262
104,2.13E-05,0.7146729952,0.01843351172,4.65E-09,21847.55329,2.96E-07,3.25E-10,1.41E-18,6.13E-07,11.06349856,1.842890526
105,6.27E-05,0.5814672908,0.02787138356,4.40E-09,34397.28105,2.24E-07,2.31E-09,2.65E-18,2.96E-07,9.542420935,0.3218128985
106,5.32E-05,0.6617002449,0.02831852045,2.96E-09,19337.22142,2.83E-08,1.88E-09,3.93E-18,4.27E-07,9.406232672,0.1856246348
107,7.85E-05,0.5091405753,0.06409601706,4.73E-09,12548.05055,2.21E-07,2.52E-09,1.60E-18,9.76E-07,9.456132581,0.2355245439
108,6.76E-05,0.5381636292,0.04290232402,2.70E-09,38862.9083,3.16E-07,2.05E-09,2.22E-18,6.87E-07,10.94703026,1.726422227
109,4.28E-05,0.5470543501,0.03778672666,4.80E-09,34085.95636,2.20E-07,2.29E-09,1.91E-18,5.08E-07,9.6107281,0.3901200632
110,2.74E-05,0.6091386283,0.03790670368,4.81E-09,42162.89235,1.48E-07,1.96E-09,3.40E-18,8.68E-07,9.22742244,0.006814403579
111,1.02E-05,0.7747004522,0.04760701534,1.10E-09,37944.90903,2.26E-07,1.64E-09,3.49E-18,8.70E-07,13.50505692,4.284448887
112,6.53E-05,0.7520465817,0.02032295891,4.61E-09,32884.81368,1.56E-07,2.19E-09,3.58E-18,8.20E-07,9.490081132,0.2694730949
113,9.13E-05,0.5200650309,0.06944804268,3.37E-09,26717.78811,1.36E-07,2.46E-09,3.83E-18,7.46E-07,9.387826164,0.1672181269
114,3.30E-05,0.7390135582,0.03532565932,9.42E-10,23927.92986,1.30E-07,8.74E-10,2.97E-18,8.95E-07,15.83819412,6.617586086
115,2.38E-05,0.5556363455,0.0181540594,3.64E-09,8537.86544,5.86E-08,7.68E-10,2.59E-18,7.83E-07,9.494171169,0.2735631322
116,9.41E-05,0.5367090154,0.04644116869,4.97E-09,8444.449624,1.26E-08,1.09E-09,3.84E-18,9.63E-07,9.550736146,0.3301281096
117,1.77E-05,0.8297203137,0.07646637868,4.72E-09,10102.70394,2.41E-07,1.21E-09,3.57E-18,3.50E-07,9.220632802,2.48E-05
118,3.61E-05,0.7020445931,0.02929361818,2.07E-09,16748.49085,2.73E-07,5.32E-10,2.01E-18,2.55E-07,12.7026422,3.48203416
119,4.57E-05,0.6853608501,0.06076640185,4.07E-09,42260.63308,3.22E-07,6.20E-10,1.48E-18,6.43E-07,11.38591358,2.165305539
120,1.80E-05,0.8751641792,0.07478689071,1.60E-09,42543.66476,1.55E-07,6.44E-10,3.19E-18,4.05E-07,13.35410108,4.133493041
