,Grain-size-ratio index,Grain Size (um),Operation Days,Heat Flux (W/cm2),Fission Rate (10^14 f/cm3/s),Coolant init Temp (C),Fuel Temp (C),Fission Density (10^21 f/cm3),Fuel Swelling (%),Fuel Gas Swelling (%)
9682,1,1.34,46,240.0,6,88,146.4325969199257,2.384640009528553,24.25965019312828,14.72109015501407
9683,1,1.34,47,240.0,6,88,146.4608283519725,2.436480009735696,24.56819185603211,14.82227181708932
9684,1,1.34,48,240.0,6,88,146.4822880294702,2.488320009942838,24.8788722873137,14.92559224754235
9685,1,1.34,49,240.0,6,88,146.5075508258529,2.5401600101499806,25.18047776693349,15.01983772633357
9686,1,1.34,50,240.0,6,88,146.5309896107934,2.592000010357123,25.47448240017132,15.10648235874283
9687,1,1.34,51,240.0,6,88,146.5529469991384,2.643840010564266,25.77916607307699,15.20380603081992
9688,1,1.34,52,240.0,6,88,146.5800392922977,2.695680010771408,26.09564724602125,15.31292720293562
9689,1,1.34,53,240.0,6,88,146.6106963399868,2.7475200109785507,26.40698745575252,15.41690741183832
9690,1,1.34,54,240.0,6,88,146.638906144895,2.799360011185693,26.71388842121246,15.51644837646968
9691,1,1.34,55,240.0,6,88,146.6654581265064,2.851200011392836,26.9936461049948,15.58884605942346
9692,1,1.34,56,240.0,6,88,146.6831243057361,2.9030400115999777,27.29291756490044,15.68075751850053
9693,1,1.34,57,240.0,6,88,146.7080938037724,2.954880011807121,27.58937283533198,15.76985278810349
9694,1,1.34,58,240.0,6,88,146.7331996716123,3.006720012014263,27.86403203020186,15.8371519821448
9695,1,1.34,59,240.0,6,88,146.7494504957539,3.058560012221406,28.28727118993857,16.05303114105294
9696,1,1.34,60,240.0,6,88,146.8082537271915,3.110400012428549,28.69215045306669,16.25055040335249
9697,1,1.34,61,240.0,6,88,146.853418233077,3.162240012635691,29.10281186205468,16.45385181151192
9698,1,1.34,62,240.0,6,88,146.8957149291923,3.214080012842834,29.62478693029401,16.76846687892266
9699,1,1.34,63,240.0,6,88,146.9673031373927,3.265920013049976,30.20687006279189,17.14319001059199
9700,1,1.34,64,240.0,6,88,147.0446687351898,3.3177600132571192,30.80062112789407,17.52958107486559
9701,1,1.34,65,240.0,6,88,147.1192513820334,3.369600013464261,31.44195832473552,17.96355827087848
9702,1,1.34,66,240.0,6,88,147.2048685202568,3.421440013671404,32.15453548297802,18.4687754282924
9703,1,1.34,67,240.0,6,88,147.3023916518305,3.4732800138785462,32.88535375999541,18.99223370448122
9704,1,1.34,68,240.0,6,88,147.4002734543607,3.5251200140856893,33.59455603858397,19.49407598224121
9705,1,1.34,69,240.0,6,88,147.486105737979,3.576960014292831,34.41441583016625,20.10657577299492
9706,1,1.34,70,240.0,6,88,147.6023934417906,3.628800014499974,35.40342063669186,20.88822057869196
9707,1,1.34,71,240.0,6,88,147.7483397775922,3.680640014707116,36.42840843476346,21.70584837593499
9708,1,1.34,72,240.0,6,88,147.8954055073933,3.7324800149142594,37.5456152954614,22.61569523580436
9709,1,1.34,73,240.0,6,88,148.0626584996988,3.784320015121401,38.6493352426402,23.51205518215459
9710,1,1.34,74,240.0,6,88,148.2193513822498,3.836160015328544,39.85580635503499,24.51116629372082
9711,1,1.34,75,240.0,6,88,148.4013202217476,3.888000015535686,41.04947643453259,25.49747637238985
9712,1,1.34,76,240.0,6,88,148.5736197402774,3.9398400157428286,42.20550006870536,26.44614000573405
9713,1,1.34,77,240.0,6,88,148.735612649961,3.991680015949971,43.05266987885071,27.08594981505081
9714,1,1.34,78,240.0,6,88,148.8331268411021,4.043520016157114,43.93619703387852,27.76211696925007
9715,1,1.34,79,240.0,6,88,148.9450301802955,4.095360016364256,44.85332462732462,28.47188456186759
9716,1,1.34,80,240.0,6,88,149.0690777354566,4.147200016571399,45.74160111344946,29.15280104716388
9717,1,1.34,81,240.0,6,88,149.1807339081753,4.19904001677854,46.64939020138976,29.85323013427558
9718,1,1.34,82,240.0,6,88,149.3033395173915,4.250880016985684,47.59964042241326,30.59612035447054
9719,1,1.34,83,240.0,6,88,149.4365123552923,4.302720017192826,48.59720800399247,31.38632793522117
9720,1,1.34,84,240.0,6,88,149.5800098209842,4.354560017399969,49.3096193794943,31.89137930989443
9721,1,1.34,85,240.0,6,88,149.6566410056135,4.406400017607111,50.01944297482706,32.3938429043986
9722,1,1.34,86,240.0,6,88,149.7482873589487,4.458240017814254,50.68547781470124,32.85251774344422
9723,1,1.34,87,240.0,6,88,149.822932615569,4.510080018021397,51.26295576075929,33.2226356886737
9724,1,1.34,88,240.0,6,88,149.8783406022831,4.561920018228539,51.60155584294544,33.35387577003127
9725,1,1.34,89,240.0,6,88,149.8885793264356,4.613760018435682,51.96117437229509,33.50613429855237
9726,1,1.34,90,240.0,6,88,149.9093112217276,4.665600018642824,52.33940135841483,33.67700128384353
9727,1,1.34,91,240.0,6,88,149.9383045629266,4.717440018849967,52.72098895908274,33.85122888368287
9728,1,1.34,92,240.0,6,88,149.9746021742317,4.769280019057109,52.98371301194135,33.9065929357129
9729,1,1.34,93,240.0,6,88,149.9880673516479,4.82112001926425,53.27309692411577,33.98861684705876
9730,1,1.34,94,240.0,6,88,150.0086602130941,4.8729600194713925,53.53257385438358,34.04073377649801
9731,1,1.34,95,240.0,6,88,150.0011224084125,4.924800019678535,53.77829441658973,34.07909433787558
9732,1,1.34,96,240.0,6,88,149.9991436495346,4.976640019885677,53.98990609086449,34.0833460113218
9733,1,1.34,97,240.0,6,88,150.0025745643532,5.028480020092818,54.20167452103621,34.08775444066494
9734,1,1.34,98,240.0,6,88,150.0106059781593,5.08032002029996,54.41315183018934,34.0918717489895
