%eval_id interface FaceCovMax     rResolBulk     vResol         DatomFissGBx   fNucleate      aAtomDifFiss   StickProb      rResolGBB      fuel_swelling  fuel_gas_swelling 
36       NO_ID      0.7704960712   4.027560683e-09 2.717497502e-18 36058.09101    2.633549132e-10 5.361862863e-31 1.301760184e-07 4.75426545e-07 107.7618605    75.69018035    
37       NO_ID      0.7585537241   4.875207365e-09 3.403451386e-18 26150.65105    1.822024542e-09 1.442247978e-31 1.392637846e-07 1.001989202e-06 107.4172639    75.34558377    
38       NO_ID      0.5979305391   3.197696784e-09 2.294835866e-18 10256.7187     4.463322604e-10 7.229279402e-31 1.085404275e-07 8.162507196e-07 125.1247885    93.05310838    
39       NO_ID      0.6457599232   3.563253539e-09 2.740242309e-18 20637.22468    2.963283193e-10 5.203752212e-31 8.048556183e-08 6.685758748e-07 120.7432819    88.67160182    
40       NO_ID      0.763059       1.799537119e-09 1.795674982e-18 11766.83301    1.681239649e-09 7.043691932e-31 2.599657839e-07 6.588661892e-08 106.7004733    74.62879322    
41       NO_ID      0.7675326248   4.602255851e-09 1.020422467e-18 13105.14368    1.269417469e-09 1.966531253e-31 4.687445294e-08 2.612746157e-07 107.5762037    75.50452356    
42       NO_ID      0.6379413945   2.529193699e-09 1.381270023e-18 46577.41367    4.187937653e-10 1.364684526e-30 1.532116637e-07 1.11235239e-06 155181.9842    155149.9125    
43       NO_ID      0.6048790144   2.537630899e-09 3.370900623e-18 49663.78038    1.729244178e-09 4.581514973e-31 2.231475181e-07 1.160211161e-06 123.5674497    91.49576958    
44       NO_ID      0.7126157669   2.885285438e-09 1.505295227e-18 87295.12952    1.509233718e-09 5.31107641e-31 1.970764428e-07 4.57705362e-07 115.7589271    83.68724701    
45       NO_ID      0.8171902205   3.377536353e-09 1.899788492e-18 102237.1502    8.79301524e-11 2.566500048e-31 3.921970262e-07 3.995342688e-07 102.1469659    70.07528576    
46       NO_ID      0.7796201638   1.862800426e-09 1.582515965e-18 35183.09177    5.228763778e-10 8.762241973e-31 1.779701922e-07 3.509634311e-07 486.1193016    454.0476215    
47       NO_ID      0.6678309709   2.953015124e-09 1.701156253e-18 7332.624958    3.891895419e-10 3.338133977e-31 5.53849534e-07 1.606955183e-06 118.2450962    86.17341607    
48       NO_ID      0.6145062093   3.833001737e-09 7.89244005e-19 52510.11755    7.364040644e-10 1.76444204e-30 3.050525803e-07 5.605436029e-07 1773.465985    1741.394305    
49       NO_ID      0.7332528844   4.009148419e-09 3.704407377e-18 43255.0243     2.74478608e-10 2.510856046e-31 1.652972334e-07 1.093894212e-06 111.7613437    79.68966359    
50       NO_ID      0.630870703    2.63792107e-09 7.013572673e-18 68798.87618    2.642179667e-09 1.124650168e-30 6.756470301e-07 7.062809189e-07 120.0311559    87.95947579    
51       NO_ID      0.6967946111   2.832129656e-09 9.740849637e-19 15125.56557    3.063088701e-10 1.12487746e-31 9.712081881e-08 1.39484331e-07 116.4553185    84.38363838    
52       NO_ID      0.6767513741   2.505357444e-09 1.343104564e-18 43382.97362    5.624358102e-10 7.774526419e-31 1.90402073e-07 4.641520163e-07 557.4811765    525.4094964    
