dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,Fuel_Swelling,Porosity,Bubble_Size
8.89E-05,0.695825105,0.068685387,2.76E-09,14722.42294,2.69E-07,7.37E-10,1.38E-18,9.34E-07,57.32174814,21.96060758,0.564799123
1.81E-05,0.768259073,0.067928463,2.77E-09,40467.90888,2.73E-07,1.36E-09,1.99E-18,3.79E-07,23.35470719,0.66453731,0.006640055
9.61E-05,0.713198252,0.033666892,1.44E-09,33393.88197,2.91E-07,4.33E-10,2.30E-18,7.93E-07,83.35776066,32.07627016,1.00959546
9.46E-05,0.770466681,0.062230481,1.37E-09,35911.92463,3.45E-07,2.64E-09,1.40E-18,5.65E-07,66.88435792,25.56504665,0.706142982
7.03E-05,0.534202835,0.068050411,4.95E-09,39708.00559,3.96E-07,2.58E-09,3.94E-18,7.71E-07,46.22040801,16.82238874,0.409185782
3.28E-05,0.583730969,0.037118839,1.86E-09,28768.7614,3.92E-08,1.19E-09,3.35E-18,5.42E-07,39.86731906,12.83830365,0.619164856
2.43E-05,0.895768218,0.076618675,3.91E-09,39477.52368,2.08E-08,2.34E-09,2.38E-18,6.89E-07,22.17641597,0.173062597,0.014762464
2.74E-05,0.504440958,0.071255953,1.99E-09,27697.3725,3.86E-07,1.88E-09,1.29E-18,4.47E-07,43.9492967,15.39698167,0.249107677
3.00E-05,0.579495462,0.066962653,1.79E-09,20086.59981,7.88E-08,1.37E-09,2.15E-18,7.80E-07,41.24867393,13.8060858,0.31880958
8.34E-05,0.50675933,0.025734368,1.51E-09,29494.4424,4.73E-08,2.01E-09,3.66E-18,5.09E-07,86.16414361,33.30728669,1.573787258
8.36E-05,0.561700396,0.017476224,4.57E-09,44312.38954,2.13E-07,3.38E-10,1.72E-18,3.26E-07,82.27050038,32.37557924,0.736956065
7.21E-05,0.694520585,0.024663435,3.52E-09,46438.47267,1.02E-07,1.25E-09,2.22E-18,6.02E-07,65.75175958,26.13767636,0.558482505
3.04E-05,0.6638466,0.021051676,2.82E-09,23314.53272,3.05E-07,1.48E-09,2.18E-18,8.44E-07,33.93761141,9.30699032,0.201677415
1.21E-05,0.56423551,0.077654299,4.24E-09,39367.19075,2.38E-07,1.23E-09,2.73E-18,6.84E-07,21.75445005,0.075914945,0.004010268
9.68E-05,0.539567007,0.046390739,7.87E-10,30753.93535,3.64E-07,4.83E-10,1.27E-18,3.81E-07,125.8607058,42.44008404,1.650007395
5.50E-05,0.565082194,0.034555287,2.13E-09,46906.26152,1.77E-07,4.97E-10,2.77E-18,9.83E-07,59.74948193,23.35808341,0.596691031
5.30E-05,0.767658139,0.027322808,6.04E-10,17407.41433,1.82E-07,2.17E-09,1.10E-18,5.51E-07,85.7871363,33.01111149,1.442535806
1.17E-05,0.679335737,0.028689194,2.61E-09,38157.88961,6.04E-08,2.56E-09,1.09E-18,5.13E-07,28.3257594,3.116322442,0.655568943
2.50E-05,0.585661083,0.073006825,1.38E-09,45169.1531,2.33E-07,5.31E-10,1.47E-18,3.73E-07,41.70953759,13.39040372,0.367718286
5.81E-05,0.853526743,0.01253018,4.10E-09,28097.87985,3.28E-07,2.38E-09,1.65E-18,7.75E-07,54.64902875,21.19250959,0.422620911
3.27E-05,0.592500438,0.018840267,7.60E-10,6189.998666,1.50E-07,6.99E-10,2.49E-18,4.05E-07,63.75460439,25.2062023,1.497596988
4.34E-05,0.834326648,0.037474731,2.88E-09,14273.7597,3.74E-07,7.99E-10,1.80E-18,2.85E-07,37.47958929,11.57778256,0.232246924
9.96E-05,0.694013228,0.02559339,7.29E-10,6429.046277,1.18E-07,5.09E-10,2.10E-18,7.15E-07,109.0390215,39.51379636,1.995166703
5.77E-05,0.903658636,0.033906887,4.45E-09,6660.871901,7.24E-08,3.68E-10,1.81E-18,9.14E-07,46.12473103,16.72766634,0.356006484
4.47E-05,0.813802225,0.06347637,3.53E-09,15828.4093,3.86E-07,1.04E-09,1.79E-18,5.53E-07,33.63817919,9.101532648,0.202558564
4.89E-05,0.826206576,0.044376688,3.32E-09,32839.45473,2.76E-07,1.16E-09,3.01E-18,4.11E-07,39.65598023,12.97318238,0.267477144
7.08E-05,0.689675605,0.061123173,3.44E-09,43821.77209,2.40E-08,3.03E-10,3.61E-18,4.00E-07,53.56948502,20.5395958,0.448672886
9.10E-05,0.671864727,0.041632394,3.80E-09,48887.63133,9.01E-09,1.96E-09,1.99E-18,3.52E-07,69.90444577,27.37764862,0.677909219
