dGrainHBS,FaceCovMax,SwellLink,rResolBulk,DatomFissGBx,StickProb,fNucleate,vResol,rResolGBB,C1,C2,C3,C4,C5,C6,Porosity,Fuel_Swelling
2.53E-05,0.897635006,0.065048936,3.13E-09,49717.61194,1.82E-07,2.76E-09,3.67E-18,2.51E-07,13.44280614,9.935778947,0.04775715,1.45E-07,2.63E-28,0,0.004127001,9.399758691
6.42E-05,0.790041624,0.069209033,8.22E-10,13882.8489,5.54E-08,2.78E-09,1.14E-18,2.84E-07,1.39362113,2.382942421,4.11034276,6.278330728,4.497184773,1.022161094,6.854046397,18.07340541
5.94E-05,0.525112001,0.079865794,2.40E-09,35783.32394,3.69E-07,2.03E-09,1.68E-18,7.75E-07,0.71109958,1.730708889,5.968303664,6.732394612,0.995836945,0.000108496,2.450485453,12.12152846
8.69E-05,0.861812381,0.073200667,4.08E-09,36487.9067,3.33E-07,1.10E-09,1.57E-18,7.94E-07,0.557982922,2.626124962,9.407368249,3.032310784,0.018907726,3.63E-08,1.329884306,10.74918269
7.42E-05,0.591448152,0.072875971,3.45E-09,10768.87938,2.60E-07,2.42E-09,2.49E-18,3.05E-07,21.05728364,0.87070076,0.00032676,6.04E-11,1.64E-34,0,0.093248873,9.323591009
6.42E-05,0.747722168,0.019930821,4.50E-09,39139.15643,3.96E-07,2.75E-09,1.59E-18,7.12E-07,3.845826752,13.15554617,3.38176061,0.01969837,2.04E-07,4.48E-29,0.498466376,9.9527985
1.73E-05,0.604047368,0.061357678,3.48E-09,42055.74607,9.93E-08,2.53E-09,3.87E-18,8.45E-07,18.02701353,4.606159367,5.36E-05,5.64E-12,1.07E-35,0,0.000342422,9.250536067
4.64E-05,0.526476847,0.055792324,2.65E-09,48456.06163,2.92E-07,5.35E-10,3.39E-18,6.24E-07,0.292738473,0.924747078,7.098099504,4.550097309,0.042410317,2.43E-07,1.437500013,10.86987855
9.56E-05,0.616711641,0.010053912,4.81E-09,19646.27109,2.24E-07,9.53E-10,2.53E-18,3.01E-07,14.42646775,4.941595474,0.004930166,3.43E-08,4.88E-29,0,0.545887156,9.843881161
1.85E-05,0.811675172,0.02895296,2.10E-09,19993.93528,3.12E-08,2.35E-09,2.99E-18,2.99E-07,2.115145233,10.93024697,18.40295622,0.421974625,6.54E-08,1.64E-30,1.428292906,10.90171532
